id;date;value;qty;state;city;store;brand;model
51;13-07-2022;580984.26;1897;;Mojorembun;Roob-Turner;Lamborghini;Diablo
52;30-01-2022;231752.61;3332;;Whitegate;Ratke Inc;Mazda;Miata MX-5
53;31-07-2022;908790.68;5106;;Zuru;Schuster-Zboncak;Jeep;Liberty
54;26-06-2022;735451.13;9082;;Dahao;"Hackett; Kutch and Bartoletti";Chevrolet;Suburban 1500
55;17-01-2022;533732.07;6488;;Luna;Miller-Tremblay;Ford;F350
56;17-10-2022;796040.79;7054;;Bongor;Cole LLC;Bentley;Continental
57;01-02-2022;497833.54;4606;ON;Ingersoll;"Romaguera; Huels and Reinger";Cadillac;STS
58;24-09-2022;684128.83;6198;;Mlonggo;Conroy and Sons;Mercury;Monterey
59;15-08-2022;293833.03;9689;;Tōkamachi;Grant Group;Cadillac;DeVille
60;28-04-2022;885742.40;4932;;Tubuhue;Sanford-Kirlin;Citroën;CX
61;04-08-2022;411258.74;5624;;Tangping;Schmitt-Doyle;Chevrolet;Corsica
62;06-07-2022;697998.61;9497;;Kilifi;Strosin and Sons;Mercury;Grand Marquis
63;25-03-2022;558092.05;5482;;Maguilling;Senger-Moen;Ford;E350
64;18-09-2022;426118.35;1188;;Ringinrejo;Ziemann and Sons;Nissan;Maxima
65;30-06-2022;166693.63;6190;;Hongshi;Bartell Inc;Ford;Mustang
66;26-12-2022;354106.22;6406;;Kembangarum;Thompson-Leuschke;Dodge;Ram 1500
67;04-01-2022;19400.24;9718;;Qingzhou;Jacobi Group;Chevrolet;Lumina
68;07-04-2022;694529.27;9402;;Guanxi;Friesen-Ruecker;Oldsmobile;Bravada
69;15-05-2022;688437.44;4506;;Sarnów;"Moen; Schamberger and Welch";Suzuki;Aerio
70;20-09-2022;925483.85;2363;LM;Milano;McKenzie and Sons;Ford;Econoline E350
71;09-07-2022;777346.64;7672;VER;Guadalupe Victoria;D'Amore-Kohler;Ford;F150
72;31-08-2022;578893.53;8195;;Yangzhuang;"Beahan; Thompson and Kohler";Buick;Century
73;22-04-2022;872851.33;7208;;Studenec;"Adams; Stehr and Bradtke";Eagle;Summit
74;07-04-2022;939687.56;9087;;Donggou;Cummerata LLC;Honda;Fit
75;30-05-2022;43041.02;2035;;Shuiyang;Runolfsdottir-Botsford;Mitsubishi;Eclipse
76;05-02-2022;187962.95;6160;;Kenyau;Zboncak Group;Pontiac;LeMans
77;21-07-2022;952031.74;4329;C1;Strasbourg;"Dibbert; Cruickshank and Kilback";Mercedes-Benz;E-Class
78;12-05-2022;871953.75;7025;;Szczecinek;West Inc;Buick;Skylark
79;06-12-2022;762829.47;80;;Togu;"Yundt; Ledner and Renner";Mercedes-Benz;M-Class
80;31-07-2022;311488.47;1015;S;Karlstad;Bahringer-Wintheiser;Cadillac;Seville
81;11-07-2022;824135.08;9547;;Boyarka;Hackett-Olson;Volkswagen;Jetta
82;03-08-2022;729887.94;7026;;Getung;"Ankunding; Predovic and Jaskolski";Mercury;Cougar
83;23-12-2022;114699.48;3071;B8;Salon-de-Provence;Morissette Group;Buick;Skyhawk
84;08-08-2022;221715.11;3553;;Fengxizhai;"Stoltenberg; Murphy and Breitenberg";Lexus;IS
85;01-08-2022;90732.09;828;;Listvyanka;"Heaney; Smitham and Cruickshank";Toyota;MR2
86;15-05-2022;344155.35;2774;;Niška Banja;"Kiehn; Hand and Bernier";Mitsubishi;Starion
87;14-01-2022;796447.36;8889;;Keyi;Schaefer-Gottlieb;Chevrolet;K5 Blazer
88;29-07-2022;198002.60;5918;;Tagapul-an;Swaniawski-Upton;Chevrolet;Suburban
89;28-07-2022;659103.90;555;;Renhe;Becker-Shanahan;Suzuki;XL7
90;27-01-2022;657870.94;1635;;Marinići;Runte-Treutel;Chevrolet;APV
91;24-08-2022;934899.58;4698;QC;Plessisville;Boyle and Sons;Aston Martin;DBS
92;01-05-2022;521322.45;3357;;Mozdok;Terry-Tremblay;Mercury;Cougar
93;13-11-2022;324090.86;6033;;Sernur;Blick and Sons;Mercedes-Benz;E-Class
94;27-04-2022;349727.05;7193;DC;Washington;"Hyatt; Robel and Mayert";Porsche;Boxster
95;04-05-2022;774945.61;4148;;Xin’an;Armstrong Group;Citroën;SM
96;25-08-2022;405315.18;4863;;Germiston;Marks Inc;Mitsubishi;Montero
97;21-12-2022;374468.71;9873;;Ghauspur;White Inc;Porsche;911
98;15-04-2022;458673.87;4176;;Hanzhong;Emard LLC;Mitsubishi;Outlander
99;24-09-2022;847734.04;3405;;Babakankalong;Pollich Inc;Jaguar;XK Series
100;20-01-2022;799903.06;2428;;Vilnius;"O'Reilly; Dach and Auer";Toyota;Sienna
101;24-01-2022;310265.81;6252;;Pančevo;"Kassulke; Russel and Romaguera";Mazda;Mazda5
102;03-06-2022;550961.77;9138;BU;Budapest;Kessler and Sons;Lincoln;Town Car
103;23-10-2022;825447.84;1704;;Hadapu Zhen;"Tromp; Lesch and Bernier";Dodge;Dakota Club
104;01-12-2022;121672.98;9286;AK;Anchorage;Fisher LLC;Jeep;Grand Cherokee
105;26-03-2022;508141.04;2237;;Brodek u Přerova;"Baumbach; Zboncak and Metz";Maserati;Coupe
106;23-10-2022;295777.78;2113;;Pasiraman;Nader-Dickens;GMC;Vandura 1500
107;29-12-2022;65961.57;2431;TX;Gatesville;Gaylord and Sons;Land Rover;Freelander
108;25-12-2022;148492.58;4078;;Giebułtów;Brown-Hilll;BMW;5 Series
109;20-01-2022;385182.50;9563;;Pianling;Haley LLC;Suzuki;Swift
110;29-03-2022;621972.22;5067;;Selat;Stiedemann-Lubowitz;Chevrolet;Express 2500
111;22-10-2022;643308.19;157;;Bragança Paulista;"Johnston; Weissnat and Turner";Mercedes-Benz;SLK-Class
112;15-09-2022;130310.48;6347;97;Boé;"Cummings; Yost and Cummerata";Jeep;Wrangler
113;30-09-2022;832223.34;934;;Jinjia;Bruen Inc;Plymouth;Horizon
114;10-05-2022;620420.05;122;;Ciawitali;"Grady; Cassin and Gorczany";Rolls-Royce;Phantom
115;16-10-2022;249776.01;6793;;Conchagua;"Weissnat; Borer and Shanahan";Mercedes-Benz;SL-Class
116;22-04-2022;68545.47;9057;;Thap Khlo;"Kulas; Konopelski and Batz";Dodge;Ram Van 2500
117;17-05-2022;813696.55;865;;Verkhnyaya Belka;Jakubowski-Hessel;MINI;Cooper
118;23-06-2022;211515.23;5981;;Watodei;O'Reilly-Langworth;Nissan;200SX
119;01-05-2022;384487.97;5767;A8;Paris 19;Kozey-Mertz;Oldsmobile;Aurora
120;22-10-2022;843249.51;7020;;Łąka Prudnicka;"Emmerich; Barrows and Mayer";Volkswagen;GTI
121;11-11-2022;528350.63;8434;;Mahdalynivka;Davis-Graham;Saturn;S-Series
122;08-07-2022;263650.03;140;;Al Ḩashwah;Bogisich-MacGyver;Cadillac;STS
123;27-06-2022;574390.72;2717;;Mulino;Johnson-Bergstrom;Nissan;Titan
124;16-04-2022;149745.65;513;;Khun Han;Greenholt and Sons;BMW;7 Series
125;21-12-2022;620151.64;1899;;Ključ;Bradtke and Sons;Cadillac;XLR-V
126;07-11-2022;760340.33;2972;;Wierzbica;Marks-Fisher;Mitsubishi;Mighty Max
127;23-05-2022;400948.70;38;;Somorpenang;Maggio and Sons;Mercedes-Benz;M-Class
128;11-11-2022;702432.77;8901;;La Cruz;Hammes-Kuphal;Toyota;Truck Xtracab SR5
129;28-03-2022;283845.26;4394;;Guling;Halvorson Inc;Toyota;MR2
130;03-05-2022;78531.86;9781;;Cibunar;"Cummings; Metz and Mueller";Toyota;Highlander
131;19-07-2022;908336.82;9793;;Protaras;"Metz; Kilback and McKenzie";Ford;E-Series
132;25-05-2022;795737.06;8397;;Ballisodare;Gutkowski-Sporer;Nissan;Leaf
133;19-01-2022;611910.32;3871;;Mbandjok;Crooks Inc;Panoz;Esperante
134;14-07-2022;840391.86;5397;CA;Los Angeles;"Weissnat; Kuvalis and Schaefer";Saturn;Outlook
135;29-11-2022;338941.49;5132;;Filótion;"Jenkins; Flatley and Beahan";Mercedes-Benz;SL-Class
136;20-11-2022;636817.13;5138;;Bolgar;Daniel-Walsh;GMC;Suburban 2500
137;13-02-2022;153135.69;652;;Novopokrovka;"Grimes; Cummerata and Conn";Chevrolet;Lumina APV
138;18-08-2022;990798.54;4587;;Yaguajay;Bernier-O'Connell;Hyundai;Tiburon
139;11-10-2022;73898.04;1367;;Jingcheng;"Collins; Muller and Armstrong";Hyundai;Elantra
140;01-06-2022;646429.03;2197;;Kotabumi;Rolfson and Sons;Mercedes-Benz;SLK-Class
141;30-10-2022;101517.84;4209;;Corozal;"Schaefer; Buckridge and Blick";Mitsubishi;Mighty Max
142;28-09-2022;133086.84;2038;;Kaiaf;Trantow Inc;Lexus;SC
143;17-02-2022;547595.85;9079;;Herong;Blanda Inc;Suzuki;Samurai
144;01-02-2022;329262.33;8377;;Takikawa;"Kuvalis; Treutel and Pacocha";Dodge;Ram Van 3500
145;10-02-2022;874863.56;5593;;Staraya Mayna;Leffler Group;Ford;Mustang
146;13-07-2022;605969.99;8740;;Senglea;Stracke-Zemlak;Lexus;IS
147;25-12-2022;234367.68;282;A9;Nîmes;Mayert and Sons;Mitsubishi;Eclipse
148;17-12-2022;527684.65;4321;;Magdalena;"Boyer; Hilpert and Rutherford";Dodge;Ram 2500
149;01-03-2022;246672.59;3230;;Paitan;Feest-Donnelly;Hyundai;Sonata
150;13-02-2022;940378.80;418;;Panganiban;Kub-Larson;Kia;Sephia
151;12-12-2022;912044.20;5409;X;Gävle;Funk-McLaughlin;Acura;RL
152;05-10-2022;143655.99;8854;;Khodzhi-Gasan;Stiedemann-Corwin;Ford;Contour
153;08-03-2022;874409.61;1767;;Bao’an;Johns Group;Hyundai;Sonata
154;07-10-2022;696968.52;2373;AB;Solna;McLaughlin Group;Toyota;4Runner
155;15-11-2022;942974.86;495;A1;Dijon;Carter Inc;Suzuki;Esteem
156;21-02-2022;965210.63;1546;13;Lameira;"Feeney; Schinner and Pacocha";Fairthorpe;Rockette
157;06-09-2022;426724.02;2907;;Narva;"Harvey; Schulist and Emard";Volkswagen;GTI
158;07-03-2022;397694.49;905;;Pamyat’ Parizhskoy Kommuny;Ratke-Hudson;Buick;Century
159;21-02-2022;595175.66;907;;Duping;"Ebert; Stanton and Hyatt";Chevrolet;Cobalt
160;30-04-2022;724556.26;6887;;Belgorod;Reinger LLC;GMC;Yukon
161;12-04-2022;970295.94;402;;Tahilt;Glover and Sons;Hyundai;Santa Fe
162;25-12-2022;820235.42;1817;A2;Rennes;"Satterfield; Jacobs and Rau";Pontiac;Firebird
163;21-03-2022;826573.89;1439;;Bayanbaraat;Pagac LLC;Mazda;Miata MX-5
164;13-02-2022;996760.75;6269;;Lajeado;"Rogahn; Murray and Schumm";Mercedes-Benz;S-Class
165;07-09-2022;119944.27;5805;;Al Quwaysimah;Reilly-Stark;GMC;Sierra 1500
166;23-01-2022;920175.81;8367;;Pokrovskoye;Kirlin-Gottlieb;BMW;M3
167;29-01-2022;859793.18;1012;;Mandaon;Pouros-Gislason;Dodge;Ram 2500
168;31-10-2022;329852.50;3449;;Greenville;"Doyle; Schneider and Torp";Mercedes-Benz;SL-Class
169;31-12-2021;650087.22;4978;;Kobiernice;Rolfson LLC;Buick;Electra
170;23-01-2022;872618.08;1200;;Beloye;Kemmer-Tremblay;Porsche;911
171;21-09-2022;713877.55;3500;;San Juan Sacatepéquez;Lebsack-Windler;Toyota;Avalon
172;26-04-2022;479417.73;8773;18;Igreja;Wehner-Bosco;Lexus;ES
173;24-01-2022;399003.38;6130;;Xinying;"Goodwin; Vandervort and Streich";Ford;LTD
174;31-10-2022;233423.92;8094;;Lukulu;"Thiel; Treutel and Kautzer";Mercedes-Benz;SL-Class
175;23-07-2022;451023.77;560;;Maykopskoye;"Swaniawski; Kirlin and Stanton";Mitsubishi;3000GT
176;27-03-2022;346758.02;1384;01;Pigeiros;Glover-Renner;Bentley;Continental Flying Spur
177;11-09-2022;902345.89;5495;;Libas;"Waters; Glover and Deckow";Infiniti;G
178;20-07-2022;793606.21;7338;;Cipeundeuy;Steuber-Rempel;Pontiac;Montana SV6
179;21-08-2022;948473.71;6886;;Tân Hiệp;Gerlach-Streich;Hyundai;Santa Fe
180;14-07-2022;510344.75;4819;;Dikson;Fritsch Inc;Jaguar;XJ Series
181;28-06-2022;834842.92;6106;;Mwene-Ditu;Gottlieb-Bergstrom;Oldsmobile;Alero
182;19-05-2022;795820.19;1461;;Jebba;Roberts-Harber;Nissan;Xterra
183;28-03-2022;247269.77;3086;;Buyant;"Effertz; Harvey and Kunze";Chevrolet;K5 Blazer
184;01-03-2022;559311.83;7620;VER;Adolfo Ruiz Cortines;Flatley-Hand;GMC;Yukon XL 1500
185;07-02-2022;675072.40;9613;E;Söderköping;Effertz-Mertz;GMC;Sonoma Club Coupe
186;18-06-2022;476440.28;9025;;El Rancho;Boyle-Batz;GMC;Yukon
187;06-09-2022;673339.50;4646;01;Avanca;Considine-Nitzsche;Volkswagen;Corrado
188;16-03-2022;448394.84;224;;Tabunok;Mayer-Rippin;Dodge;Dakota
189;19-04-2022;316755.60;4687;11;Queluz de Baixo;MacGyver Inc;GMC;1500
190;16-10-2022;217797.46;2068;;Shaoha;Schroeder Group;Mitsubishi;Expo
191;09-12-2022;109141.91;1752;;Maopingchang;"Gerhold; O'Conner and Gaylord";Cadillac;STS
192;19-09-2022;833924.91;5716;;Phra Phutthabat;Auer-Considine;GMC;Yukon XL 1500
193;16-06-2022;508481.90;9875;18;Póvoa de Santo António;Fay-Shanahan;Subaru;SVX
194;07-07-2022;213158.05;2817;;Buenos Aires;"Ondricka; Crist and Satterfield";Subaru;Outback
195;24-05-2022;567375.11;2949;;Danao;Brakus Inc;Lexus;IS
196;19-03-2022;708899.20;7164;;Trzcinica;"Marquardt; Baumbach and Powlowski";Dodge;Charger
197;09-02-2022;549423.40;6984;;Los Boquerones;Mraz LLC;Ford;E350
198;28-09-2022;9246.37;1434;;Shahr-e Qods;Wintheiser Group;Mercedes-Benz;G-Class
199;11-10-2022;933117.96;7987;;Ar Rahad;"Kemmer; Labadie and Davis";Volkswagen;CC
200;04-02-2022;382264.35;7998;;Mintang;Feil-Larson;Toyota;T100
201;03-12-2022;659014.65;4249;;Shuangxi;Connelly Group;Toyota;Sequoia
202;01-05-2022;320855.30;1779;;Maizuru;Flatley Group;Honda;Civic
203;26-12-2022;703966.66;805;;Árta;"Hegmann; Sipes and Fay";Chevrolet;Corvette
204;03-08-2022;693041.66;4556;;Aiquile;"Kub; Cole and Osinski";Ford;Tempo
205;09-05-2022;590183.22;4290;;Igbo Ora;"Moen; Carroll and Murphy";Chevrolet;TrailBlazer
206;31-01-2022;206086.55;7578;;Zhongshanlu;Hackett-Nienow;Mercury;Grand Marquis
207;24-11-2022;684871.94;1985;;Sabinópolis;"Maggio; Jaskolski and Wilkinson";Buick;Century
208;12-06-2022;183220.92;5345;;Chuncheon;Schamberger Inc;Acura;RL
209;31-01-2022;706778.70;8176;;Zhenshan;Pfeffer-Schuster;Eagle;Talon
210;12-02-2022;707663.75;8065;;Ngangpo;"Konopelski; Batz and Waelchi";Kia;Rondo
211;12-03-2022;64283.10;9915;;Lifuta;Weimann Inc;Volkswagen;Golf
212;24-07-2022;505136.60;9140;A6;Dole;Turcotte LLC;Nissan;240SX
213;17-02-2022;578262.59;7351;;Jhingergācha;Stokes-Wintheiser;Chevrolet;Tracker
214;24-08-2022;838162.69;6699;NY;New York City;Schmeler-Greenholt;Lexus;LX
215;13-08-2022;306876.93;3972;;Blangpulo;Bergnaum LLC;Isuzu;Space
216;18-12-2022;848674.46;9351;;Krabi;"Beier; Bins and Lehner";Lamborghini;Gallardo
217;25-09-2022;106369.65;8673;;Obollo-Afor;VonRueden Group;Buick;Park Avenue
218;18-09-2022;708016.71;538;;Xiangxi;Greenholt-Shields;Mazda;Tribute
219;20-07-2022;203369.93;9412;;Penghu;Schimmel Group;Chevrolet;Camaro
220;15-04-2022;557596.96;7574;;Shishan;"Stiedemann; Doyle and Miller";Pontiac;Firebird
221;05-06-2022;850294.27;9932;;Shuanghejiedao;Kertzmann Inc;Ford;Fairlane
222;20-09-2022;710061.60;1879;MO;Saint Louis;Johnson-Koch;Mitsubishi;Excel
223;07-07-2022;384472.47;7626;;Oubei;"Beahan; Raynor and Schamberger";Ford;Taurus
224;13-09-2022;774332.47;2735;;Salgar;Kuphal and Sons;Mazda;B-Series Plus
225;18-04-2022;822439.97;4157;;Tân Châu;"Von; Nolan and Witting";Buick;Century
226;19-10-2022;420313.62;9318;;Cuamba;Connelly-Harber;Ford;F150
227;06-04-2022;386551.55;1612;06;'s-Hertogenbosch;Rippin LLC;Mitsubishi;Outlander
228;07-06-2022;131605.91;1476;;Changyi;Littel and Sons;GMC;Sierra 2500HD
229;06-08-2022;596394.55;1039;AC;Skellefteå;"Sporer; Legros and Tremblay";Mercury;Mariner
230;25-06-2022;832639.43;5784;;Didou;Schinner LLC;Honda;Civic
231;17-03-2022;829451.86;4876;05;Heerlen;"Homenick; Rohan and Durgan";Infiniti;G35
232;28-09-2022;915613.69;4840;;Zhongchao;Herzog-King;Ford;E-Series
233;06-02-2022;907267.33;52;;Cibitung;"Harvey; Little and Upton";Dodge;Ram
234;05-02-2022;1552.86;1275;;Magarao;Mante and Sons;Mazda;Mazda6
235;30-06-2022;371428.14;3190;;Katima Mulilo;Rutherford-Leffler;Mazda;929
236;08-10-2022;345558.20;5129;;Keyinhe;"Jacobson; Yundt and Cormier";Buick;Coachbuilder
237;27-08-2022;559792.32;1697;;Rebe;Schiller and Sons;Mercedes-Benz;R-Class
238;25-08-2022;154771.37;5968;10;Brejieira;Sipes-Bergstrom;Oldsmobile;Bravada
239;03-03-2022;48316.43;6064;;Ciudad Arce;"Heidenreich; Stanton and Corkery";Chevrolet;S10
240;23-05-2022;432756.55;3164;;Heishui;Prohaska Inc;Ford;Flex
241;15-10-2022;531805.12;2607;;Ikeda;"Metz; Schuster and Ryan";Isuzu;Ascender
242;15-03-2022;831278.04;4673;;Dukhovshchina;Windler and Sons;Pontiac;Trans Sport
243;13-03-2022;998720.87;9979;;Sanom;"Green; Gorczany and Schuster";Mitsubishi;Diamante
244;27-01-2022;949486.49;1130;;Mompós;Mueller-Rohan;Lexus;LS
245;22-02-2022;394194.08;5660;;Alegrete;Daugherty and Sons;Ford;Taurus
246;03-02-2022;327338.28;7938;;Sędziszów;Brakus and Sons;Lincoln;Continental
247;30-09-2022;335198.36;1817;15;Pinhal Novo;Kunde LLC;Ford;Thunderbird
248;07-10-2022;813388.19;538;W;Falun;"Jaskolski; Gorczany and Russel";BMW;X3
249;10-08-2022;543611.25;5319;;Freetown;"Ullrich; Bergstrom and Baumbach";Isuzu;Rodeo
250;10-05-2022;830794.15;6625;CA;Bakersfield;"Klocko; Gislason and Huels";Dodge;Caravan
251;13-10-2022;978118.66;3210;;Koga;"Tromp; Nienow and Emmerich";Land Rover;Range Rover
252;28-10-2022;852220.00;9616;;Chor;Langosh and Sons;Toyota;Tacoma Xtra
253;18-02-2022;843774.12;9671;;Wādī as Salqā;Kemmer LLC;Renault;Alliance
254;13-06-2022;387245.14;7652;;Vysehrad;"Lakin; Kuphal and Breitenberg";Kia;Sedona
255;29-07-2022;283674.11;8637;;Lesichevo;"Douglas; Gutmann and Monahan";Chevrolet;Lumina
256;18-08-2022;712233.68;5169;;Staroshcherbinovskaya;"Abshire; Anderson and Connelly";Cadillac;DeVille
257;09-04-2022;121577.90;6771;;Claremorris;"Treutel; Wintheiser and Gutkowski";Cadillac;Escalade EXT
258;28-07-2022;965984.13;327;;T’et’ri Tsqaro;Powlowski LLC;Dodge;Durango
259;07-06-2022;739065.46;3468;;Choujiang;Schmeler and Sons;Dodge;Sprinter
260;23-03-2022;56474.93;2594;;Changyanbao;"Cassin; Roberts and Ebert";Chevrolet;Express 1500
261;09-12-2022;965839.17;1257;;Novoshakhtinsk;Greenholt-Waelchi;Mazda;Mazda6
262;21-04-2022;970879.95;5943;;Puunage;Shanahan LLC;Buick;Electra
263;17-07-2022;323509.30;8414;CA;San Jose;Corwin-Considine;Porsche;968
264;22-03-2022;141678.10;9795;;Yezhou;"Kris; King and Cummings";Buick;LeSabre
265;16-12-2022;64981.44;2743;QC;Mont-Saint-Hilaire;"Tromp; Hilpert and Cole";Pontiac;GTO
266;02-10-2022;96431.73;1553;;Sosnovyy Bor;Fadel-Ritchie;Honda;Accord
267;10-06-2022;432484.06;4659;;Qiandian;Beier-Schowalter;Infiniti;QX
268;01-07-2022;163491.91;1131;;Sioguí Arriba;Watsica-Feest;Lexus;HS
269;15-10-2022;998461.23;7663;;Wengyang;Sawayn Group;Volvo;240
270;23-11-2022;349278.15;3577;;Ilhéus;Gorczany-Weber;Mercedes-Benz;300SL
271;30-04-2022;924156.71;7407;;San Pedro de Lloc;Homenick-Hartmann;Honda;CR-X
272;07-03-2022;139064.18;7897;;Kobylí;"Grimes; Hauck and Franecki";Subaru;XT
273;08-07-2022;308975.96;6461;;Dongjin;"Zulauf; Jakubowski and Schaefer";Chevrolet;G-Series G30
274;19-03-2022;810788.81;5272;11;Várzea de Sintra;Feeney-White;Cadillac;Fleetwood
275;04-05-2022;269583.58;8033;;Shalizhai;Smitham-Larkin;Audi;Q5
276;09-05-2022;377819.97;4187;;Arari;Bechtelar LLC;Audi;A8
277;22-03-2022;675748.55;107;MOR;Emiliano Zapata;Marks-Ziemann;Cadillac;Escalade
278;12-05-2022;428215.15;339;;Daxing;Kuvalis Inc;Mazda;MX-5
279;09-07-2022;795053.95;2427;;Longmen;Cremin-Nikolaus;Aston Martin;DB9
280;24-08-2022;737758.21;6280;SN;Leipzig;Cruickshank Group;Volvo;S70
281;21-12-2022;884556.93;5494;;Bokor;Langworth-Schaefer;Oldsmobile;LSS
282;27-02-2022;295506.93;4102;;Pasirpanjang;McCullough-O'Hara;Porsche;Panamera
283;20-07-2022;126058.50;1123;;Kíti;Lindgren-Boyle;Honda;Accord
284;20-07-2022;79560.43;4018;;Kondrovo;Botsford Group;Saturn;Ion
285;07-04-2022;280590.17;1985;;Leudelange;"Osinski; Casper and Heidenreich";Audi;Coupe GT
286;28-09-2022;539519.78;597;;Oyam;Hane and Sons;Mercury;Topaz
287;07-02-2022;947379.40;4648;;Mzuzu;"Bartoletti; Spinka and Senger";Ford;Focus
288;24-12-2022;543205.39;849;;Ibarreta;Harvey Group;Kia;Sportage
289;03-05-2022;500725.22;816;;La Eduvigis;Stracke Inc;Suzuki;Grand Vitara
290;11-12-2022;484170.65;1693;;Mayumba;"Batz; Corkery and Blick";Jaguar;S-Type
291;21-03-2022;345239.72;5266;;Xarag;"Skiles; Emard and Nikolaus";Cadillac;Allante
292;18-10-2022;338180.65;419;;Embalse;O'Reilly LLC;Aston Martin;DB9
293;15-02-2022;639457.67;8578;;Korfovskiy;"Johnston; Kulas and Leuschke";Dodge;Stealth
294;03-01-2022;231745.98;1278;;Baima;Lebsack-Lebsack;Jeep;Wrangler
295;26-01-2022;841076.38;8900;1084;København;Lueilwitz Group;Toyota;Land Cruiser
